model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
hrnet_w30.ms_in1k,78.202,56.055,59.713,3.6580000000000013,224,37.71
hrnet_w32.ms_in1k,78.452,55.26,59.896,4.636000000000003,224,41.23
hrnet_w40.ms_in1k,78.928,56.341,60.443,4.101999999999997,224,57.56
hrnet_w44.ms_in1k,78.89,55.534,60.286,4.7520000000000024,224,67.06
hrnet_w48.ms_in1k,79.328,56.966,59.883,2.9170000000000016,224,77.47
inception_v3.tf_in1k,77.866,55.716,57.383,1.6670000000000016,299,23.83
inception_v3.tv_in1k,77.472,55.208,58.151,2.943000000000005,299,23.83
lcnet_100.ra2_in1k,72.13,55.13,53.594,-1.5360000000000014,224,2.95
legacy_seresnet18.in1k,71.742,52.747,57.813,5.0660000000000025,224,11.78
legacy_seresnet34.in1k,74.788,55.247,58.724,3.4769999999999968,224,21.96
levit_128.fb_dist_in1k,78.486,53.424,52.942,-0.4819999999999993,224,9.21
levit_128s.fb_dist_in1k,76.52,54.284,52.968,-1.3159999999999954,224,7.78
levit_192.fb_dist_in1k,79.858,52.669,53.281,0.6120000000000019,224,10.95
levit_256.fb_dist_in1k,81.506,54.57,54.531,-0.03900000000000148,224,18.89
levit_384.fb_dist_in1k,82.6,55.469,53.19,-2.2790000000000035,224,39.13
maxvit_base_tf_224.in1k,84.884,54.584,59.362,4.777999999999999,224,119.47
maxvit_base_tf_384.in21k_ft_in1k,87.93,59.153,59.323,0.1700000000000017,384,119.65
maxvit_large_tf_224.in1k,84.938,55.052,61.745,6.692999999999998,224,211.79
maxvit_large_tf_384.in1k,86.242,56.211,63.268,7.057000000000002,384,212.03
maxvit_large_tf_384.in21k_ft_in1k,87.994,59.766,62.76,2.9939999999999998,384,212.03
maxvit_large_tf_512.in21k_ft_in1k,88.236,58.581,65.937,7.3559999999999945,512,212.33
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,86.908,56.601,56.589,-0.012000000000000455,224,116.14
maxvit_rmlp_small_rw_224.sw_in1k,84.488,54.583,53.893,-0.6899999999999977,224,64.90
maxvit_rmlp_tiny_rw_256.sw_in1k,84.226,53.776,54.974,1.1979999999999933,256,29.15
maxvit_small_tf_224.in1k,84.452,52.708,58.815,6.106999999999999,224,68.93
maxvit_tiny_rw_224.sw_in1k,83.522,52.5,53.841,1.341000000000001,224,29.06
maxvit_tiny_tf_224.in1k,83.426,53.971,57.93,3.959000000000003,224,30.92
maxvit_tiny_tf_512.in1k,85.658,56.028,62.018,5.990000000000002,512,31.05
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,87.48,57.201,58.32,1.1189999999999998,384,116.09
mixer_b16_224.goog_in21k_ft_in1k,76.616,52.656,57.083,4.427,224,59.88
mixnet_l.ft_in1k,78.97,56.654,52.721,-3.933000000000007,224,7.33
mixnet_m.ft_in1k,77.268,56.185,53.333,-2.852000000000004,224,5.01
mixnet_s.ft_in1k,76.0,55.274,52.904,-2.3699999999999974,224,4.13
mixnet_xl.ra_in1k,80.494,53.529,52.24,-1.2890000000000015,224,11.90
mnasnet_100.rmsp_in1k,74.672,55.495,54.036,-1.458999999999996,224,4.38
mnasnet_small.lamb_in1k,66.204,54.909,53.997,-0.911999999999999,224,2.03
mobilenetv2_050.lamb_in1k,65.928,56.289,52.019,-4.270000000000003,224,1.97
mobilenetv2_100.ra_in1k,72.91,55.247,53.542,-1.7049999999999983,224,3.50
mobilenetv2_110d.ra_in1k,75.056,54.609,54.531,-0.07800000000000296,224,4.52
mobilenetv2_120d.ra_in1k,77.3,55.651,55.0,-0.6510000000000034,224,5.83
